待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
振业名邸 朝南 近地铁 出行方便 医疗配套成熟 带电梯,2室,1厅,1卫,95.6,南,低层(共31层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,南 满二年 近地铁 ,154,16109
北扩区域 京港国际城 2室 1厅,2室,1厅,1卫,87.8,南,高层(共12层),2000年建造,京港国际城,汉沽,汉沽街,大丰路88号,南 ,30,3417
三居室 中间楼层 毛坯房可塑性强   ,3室,2厅,1卫,99,南北,中层(共27层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 ,80,8081
钻.石山三期钥匙房）中楼层 赠送阳台 地铁5.6号线 采光好,2室,2厅,1卫,87,南北,中层(共32层),2013年建造,招商钻石山星城,南开,体育中心,卫津南路,南北 满五年 近地铁 ,289,33219
体北鲁能 新装修没住过 刚交付 看房随时,2室,1厅,1卫,81,南北,低层(共18层),2020年建造,体北鲁能公馆,河西,友谊路,环湖中路,南北 满二年 近地铁 次新房 ,365,45062
富力城新上婚装两居室 三面朝阳带阳台 诚意出售,2室,2厅,1卫,95.41,南北,高层(共28层),2007年建造,天越园,南开,鼓楼,西马路 近北城街,南北 近地铁 ,449,47061
天辰公寓 1楼带院子 尽享私密与宁静的好房子 随时看房,2室,2厅,1卫,98.14,南,低层(共6层),1990年建造,天辰公寓,北辰,北仓,京津公路521号,南 满五年 ,160,16304
家兴里高楼层86.5万 好楼层。,2室,1厅,1卫,95,南北,高层(共18层),2012年建造,家兴里,西青,张家窝,知景道,南北 满二年 ,86.5,9106
果园新村 近医院 交通便捷 朝南 刚需两居 商圈成熟,2室,1厅,1卫,91.82,南,低层(共6层),2003年建造,都旺新城兰芳园,北辰,果园新村,北辰道 近高峰路,南 ,180,19604
融创东岸名郡 满二   中间好楼层 交通便捷 房龄新,3室,2厅,1卫,96.65,南北,中层(共8层),2016年建造,融创东岸名郡,北辰,双街镇,小街新苑路,南北 满二年 绿化率高 采光较好 ,103,10658
融科瀚棠性价比   一套,2室,1厅,1卫,94.37,南,高层(共23层),2015年建造,融科瀚棠丰合园(滨海),开发区,第四大街,第五大街57号,南 满五年 ,163,17273
65万！东方家园2室1厅1卫88平方米,2室,1厅,1卫,87.16,南北,共5层,2003年建造,东方家园,静海,静海镇,东方红路,南北 房东直卖 满二年 ,65,7458
泽天下心泽园 大两居 电梯房 商品房 满五 精装可拎包入住,2室,2厅,1卫,80,南,低层(共18层),2008年建造,泽天下心泽园,北辰,北仓,祥辰路,南 满五年 ,194,24250
惠众家园 临地铁 带电梯 满二 商圈成熟 小三房 小区新,3室,1厅,2卫,91,南,低层(共28层),2018年建造,惠众家园,河西,小海地,微山路,南 满二年 近地铁 多人关注 ,180,19781
万科新城凌霄苑 满五   配套齐全 近地铁 密度低 出行方便,4室,2厅,3卫,170.88,南,共1层,2000年建造,万科新城凌霄苑,北辰,宜兴埠,万科花园路 近普东街,南 满五年 近地铁 ,335,19605
5楼 带看方便 近地铁25号线  配套齐全 诚意出售,1室,1厅,1卫,40,南北,高层(共6层),1990年建造,益寿东里,河东,常州道,常州道 近江宁路,南北 近地铁 多人关注 ,42,10500
州河西园  2室中间楼层  前无遮挡70年大产权,2室,2厅,1卫,83.64,南北,中层(共26层),2016年建造,州河湾西园(中区),蓟州,渔阳镇,州河湾西街,南北 满二年 ,53,6337
东新街 近地铁 南北通透 满五 购物方便 近医院 楼层好,2室,1厅,1卫,56.64,南北,高层(共7层),1986年建造,倚虹中里,河东,东新街,崂山道,南北 满五年 近地铁 ,71.5,12624
出门南开 近地铁 贻成学府壹号 位置好 采光佳 看房随时,3室,2厅,2卫,114,南北,中层(共16层),2018年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,南北 满二年 车位充足 人气热搜 ,163,14299
豆张庄镇 小区新 电梯房 双卫 南向采光好 满二,3室,2厅,2卫,198.47,南,低层(共17层),2015年建造,春熙里,武清,豆张庄镇,新安路,南 满二年 ,247,12446
一区2室1厅1卫 大产权房 好楼层楼位 价格可议,2室,1厅,1卫,82.14,南北,中层(共11层),2013年建造,慈水园(1区),津南,葛沽,柳绿道,南北 房东直卖 满二年 ,53,6453
迎春里(和平)36.06平220万2室1厅1卫,2室,1厅,1卫,36.06,南北,中层(共6层),1990年建造,迎春里(和平),和平,新兴街,西康路42号,南北 满五年 近地铁 多人关注 ,220,61010
房主急售福满园 两室购物方便 正南朝向 带电梯 采光充足,2室,2厅,1卫,126.71,南,高层(共16层),2009年建造,福满园,大港,古林街,海景十路,南 满五年 ,108,8524
弘泽城 装修好 商圈成熟 临地铁 大两房 医疗配套成熟,2室,1厅,1卫,91,南北,中层(共18层),2010年建造,弘泽城,塘沽,杭州道街,天河东路,南北 满五年 近地铁 ,100,10990
双环邨街 交通便捷 房龄新 临地铁 大两居 正规商品房,2室,1厅,1卫,91,南,低层(共33层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,南 满五年 近地铁 ,158,17363
云锦世家 3室1厅 118.95平,3室,2厅,1卫,118.95,南北,低层(共26层),2016年建造,云锦世家(北区),西青,中北,星光路 近卉康道,南北 满五年 绿化率高 ,188,15805
!随时看 亚泰津澜 小区新 刚需两居 明厨明卫 抢手户型!,2室,1厅,1卫,91.95,南,中层(共29层),2014年建造,亚泰津澜,塘沽,西大沽街,迎宾大道 近安阳道,南 满二年 ,95,10332
融创御园 中间好楼层 近   采光充足 配套齐全 次新房,3室,2厅,1卫,99.53,南,中层(共28层),2017年建造,融创御园,北辰,北仓,北辰道,南 满二年 车位充足 ,182,18286
洋房顶楼带阁楼  诚意出售急售有钥匙随时看房,2室,2厅,1卫,99.32,南北,高层(共9层),2006年建造,太阳城橙翠园,河东,鲁山道,凤山道 近鲁山道,南北 近地铁 ,196,19735
世侨唐墅 房龄新 刚需小三居 正南朝向 中间楼层,3室,2厅,1卫,95.7,南,中层(共27层),2015年建造,世侨唐墅,武清,大王古庄镇,古达路,南 房东直卖 满五年 ,70,7315
中海公园城尚湖苑 停车方便 次新房 刚需小三居 南向采光好,3室,2厅,1卫,89,南,低层(共33层),2020年建造,中海公园城尚湖苑,津南,津南八里台,天嘉湖大道,南 满二年 车位充足 ,56.5,6349
天穆 出行方便 近地铁 近医院 高楼层视野无遮挡 南向采光好,2室,1厅,1卫,71.9,南,高层(共24层),2008年建造,天穆东苑,北辰,天穆,京津公路,南 有电梯 ,65,9041
欣中苑 带装修两室 拎包入住 近地铁和市场,2室,1厅,1卫,82,南,高层(共24层),2019年建造,欣中苑,塘沽,北塘街,欣展道,南 次新房 ,61,7440
天和林溪博园 有电梯 满五 南北通透下朱庄街动静分离,2室,1厅,1卫,75,南北,低层(共16层),2012年建造,天和林溪博园,武清,下朱庄街,清水路,南北 满五年 采光较好 ,55,7334
港韵新苑 带电梯 满五 房龄新 朝南汊沽港镇居家自住 保养好,2室,1厅,1卫,76.34,南,低层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南 满五年 ,57.5,7533
房主诚心出售 两室一厅 好楼层楼位,2室,1厅,1卫,85.2,南北,中层(共18层),2012年建造,慈水园(2区),津南,葛沽,柳绿道,南北 房东直卖 满二年 ,53,6221
五中周边 碧桂园金誉府 2室2厅,2室,2厅,1卫,85,南,高层(共18层),2012年建造,碧桂园金誉府,宁河,芦台镇,皇姑庄路,南 车位充足 ,66,7765
万科  洋房带车位满五  ,3室,2厅,2卫,123.09,南北,低层(共10层),2020年建造,万科东第,西青,李七庄,昌凌路 近淄环路,南北 近地铁 车位充足 ,399,32416
绅湖公馆二期精装修 业主急售 89平中间楼层,2室,2厅,1卫,89,南北,高层(共22层),2019年建造,绅湖公馆,塘沽,滨海高新区,滨海湖路,南北 有电梯 次新房 ,52,5843
天一绿海揽秀园 精装可拎包入住 高楼层视野无遮挡 满五,2室,2厅,1卫,95,南北,高层(共28层),2013年建造,天一绿海揽秀园,蓟州,渔阳镇,东环路 近迎宾大街,南北 满五年 ,105,11053
意境兰庭 精装好房 近地铁 房龄新 满二 南北通透,2室,2厅,1卫,94.15,南北,中层(共18层),2015年建造,意境兰庭,东丽,空港经济区,东六道 近兴宇路,南北 满二年 ,188,19969
近地铁 满二   南向采光好 交通便利 带电梯 楼龄新,2室,2厅,1卫,92.19,南,中层(共7层),2015年建造,华轩北园,东丽,华明镇,津汉公路,南 满二年 ,100,10848
八方观园两室全阳中间楼层采光好无遮挡房子一次没住过干净,2室,1厅,0卫,98,南北,中层(共25层),2016年建造,八方观园,塘沽,西大沽街,天津大道 近水线路,南北 满二年 户型方正 ,107,10919
红树湾 精装修 集中供暖 大两房 出行方便 近地铁 产权清晰,2室,2厅,1卫,94,南,低层(共24层),2015年建造,红树湾,滨海新区,中新生态城,和韵路1078号,南 ,108,11490
福居园 南向采光好 满五   房龄新 精装可拎包入住 带电梯,3室,1厅,1卫,99.04,南,中层(共17层),2016年建造,福居园,大港,古林街,万全路,南 满五年 ,75,7573
北岸潞园 商业配套齐全 双卫 近地铁 满五 出行方便,2室,2厅,2卫,94.6,南,高层(共6层),2002年建造,北岸潞园,红桥,西沽街,新红路165号,南 房东直卖 满五年 近地铁 ,178,18817
生态城 雅居乐 精装三室 南北通透电梯洋房   优惠 急售,3室,2厅,1卫,89,南北,高层(共7层),2022年建造,雅居乐滨河雅郡,滨海新区,中新生态城,中生大道,南北 满二年 次新房 ,72,8090
碧海鸿庭 大两房 交通便利 商业配套成熟 精装修 满五  ,2室,2厅,1卫,98.39,南北,高层(共17层),2008年建造,碧海鸿庭,塘沽,塘沽新村街,上海道3001号,南北 满五年 ,186,18905
新上大都会4室 南北通透 带子母车位 看房随时联系佳诺,4室,2厅,2卫,165,南北,高层(共39层),2014年建造,天汇雅苑(天津大都会),和平,南市,大都会5号,南北 热门小区 配套成熟 房东急售 ,980,59394
贻正嘉合 临地铁 大两房 次新小区 中间楼层采光好 购物方便,2室,2厅,1卫,100,南北,中层(共6层),2023年建造,贻正嘉合,塘沽,工农村街,河北路 近锦江路,南北 满五年 次新房 ,105,10500
急售！新降价14万！经纬二期2室 中间楼层 首付18万 ！,2室,2厅,1卫,86.22,南,中层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 户型方正 ,90,10439
新城悦隽央著 满二 次新房 商品住宅 电梯房 停车方便,3室,2厅,1卫,94,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,131,13937
急售~110~11中13小 新城悦隽央著 洋房好楼层 送车位,2室,2厅,1卫,86.49,南北,低层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,120,13875
交通便捷 低密宜居 商业配套齐全 满五   大两居 临地铁,2室,1厅,1卫,81.91,南,低层(共24层),2013年建造,都旺新城梅芳园,北辰,北仓,北辰道,南 房东直卖 满五年 ,135,16482
开江里 低密宜居 得房率高 正南朝向 交通便利 临地铁,1室,1厅,1卫,38.84,南,低层(共6层),1992年建造,开江里,河北,月牙河街,开江道16号,南 满五年 近地铁 ,56,14419
天一绿海揽翠园 中间好楼层 南北通透 超低密度 装修好,3室,2厅,2卫,137.34,南北,共5层,2007年建造,天一绿海揽翠园,蓟州,渔阳镇,燕山东大街,南北 房东直卖 满二年 ,179,13034
清华园 商圈成熟 满五   有电梯 医疗配套成熟 南向采光好,3室,1厅,1卫,143.73,南,低层(共19层),2000年建造,清华园,和平,新兴街,云南路12号,南 满五年 近地铁 ,760,52877
西大沽街 大两房 带电梯 满五   朝南 精装修,2室,2厅,1卫,106.72,南,低层(共32层),2004年建造,贻成泰和新都,塘沽,西大沽街,天津大道,南 满五年 ,89,8340
中建海纳府128.0平187万3室2厅2卫,3室,2厅,2卫,128,南北,共3层,2021年建造,中建海纳府,滨海新区,中新生态城,中生大道,南北 满二年 车位充足 ,187,14610
11月本人看过  鞍山道    电梯房  精装修,2室,1厅,1卫,57,南北,低层(共32层),2009年建造,宜天花园(和平时光),和平,劝业场,新疆路2号,南北 满五年 近地铁 ,330,57895
（必看好房）颂禹里 五马路小學 精装2室 全明户型 采光佳,2室,1厅,1卫,59.39,南北,中层(共6层),1992年建造,颂禹里,南开,广开街,长江道,南北 满五年 近地铁 ,235,39569
翠亨村 医疗配套成熟 满五 高楼层视野好 双卫格局 出行方便,3室,2厅,2卫,117.27,南北,高层(共6层),1998年建造,翠亨村,开发区,第三大街,新城西路 近泰达大街,南北 满五年 近地铁 ,189,16117
商务区 滨海江来 现房 南北通透三室 看房随时,3室,2厅,2卫,108,南北,中层(共24层),2021年建造,旭辉滨海江来天晖苑,滨海新区,滨海城区,解放路,南北 近地铁 车位充足 ,195,18056
大园新居 近地铁 交通便捷 高楼层视野好 满五  ,1室,1厅,1卫,62.08,南,高层(共28层),2008年建造,大园新居,南开,向阳路,芥园西道85号,南 满五年 近地铁 ,110,17720
家泰里精装一室一厅随时可以看房50万可议,1室,1厅,1卫,62,南北,低层(共18层),2010年建造,家泰里,西青,张家窝,吉庆道,南北 有电梯 车位充足 ,50,8065
万科东第电梯洋房190平平层别墅品质好房,4室,2厅,3卫,189.64,南北,高层(共7层),2018年建造,万科东第,西青,李七庄,昌凌路 近淄环路,南北 有电梯 近地铁 车位充足 ,680,35858
好美嘉园 砖楼一室 业主诚意出售 出行方便 看房随时,1室,1厅,1卫,51,南,低层(共6层),2008年建造,好美嘉园,东丽,张贵庄街,千山道 近雪山南路,南 满五年 近地铁 ,60,11765
世茂璀璨公园 双卫 次新房 南北通透 满五 商圈成熟,3室,2厅,2卫,126,南北,低层(共30层),2020年建造,世茂璀璨公园,津南,咸水沽,界河路,南北 满五年 次新房 ,168,13334
北塘街 一室带装修 密度低 出行方便 近地铁,1室,1厅,1卫,50,南,高层(共24层),1999年建造,海阔苑,塘沽,北塘街,漳州道,南 满五年 ,39.6,7920
南北通透 双卫格局 满五 商业配套齐全 临地铁 交通便利,3室,2厅,2卫,121.73,南北,中层(共8层),1981年建造,胜利街小区,塘沽,解放路街,解放路1116号,南北 满五年 近地铁 ,180,14787
塘沽湾梁锦西苑精装一居室 随时能用塘沽一中,1室,1厅,1卫,45,南,高层(共22层),2015年建造,梁锦西苑,滨海新区,滨海城区,国兴路,南 热门小区 配套成熟 公摊小 ,33.8,7512
新交房小区 精装洋房带车位 紧邻北师大 小区中间位置无遮挡,4室,2厅,2卫,138,南北,高层(共7层),2023年建造,天铂澜园,滨海新区,滨海城区,荣盛路,南北 满五年 次新房 ,153,11087
融创半湾半岛 电梯房 正南朝向 近地铁 楼龄新 满五  ,3室,2厅,3卫,166.11,南,共5层,2015年建造,融创半湾半岛,北辰,双街镇,双进道,南 满五年 ,325,19566
中新生态城 中间楼层 满二 南北通透 车位充足 交通便利,3室,1厅,1卫,114,南北,中层(共28层),2015年建造,双威悦馨苑,滨海新区,中新生态城,中新大道3681号,南北 满二年 车位充足 ,155,13597
诚意出售 近医院 大两室 单价8000多 好楼层 有钥匙,2室,2厅,1卫,101.44,南,高层(共29层),2007年建造,贻港城,塘沽,新河街,车站北路365号,南 满五年 ,89,8774
装修豪华保养好 满五 商圈成熟 带电梯 近地铁 双卫,3室,2厅,2卫,158,南北,低层(共30层),2010年建造,香颂园,塘沽,胡家园街,津塘公路7016号,南北 满五年 ,215,13608
中储城邦文澜花园 次新小区 高楼层采光充足 车位充足,4室,2厅,2卫,140.83,南,高层(共8层),2020年建造,中储城邦文澜花园,北辰,天穆,南仓道,南 有电梯 车位充足 ,273,19386
生态城精装洋房 通透三室户型 电梯入户 随买随住,3室,2厅,2卫,126.57,南北,中层(共6层),2022年建造,吉宝季景兰庭,滨海新区,中新生态城,和旭路1189号,南北 满二年 次新房 ,193,15249
交通便利 正规商品房 满二   临地铁 精装好房 带电梯,3室,2厅,2卫,127.71,南,低层(共24层),2011年建造,长瀛御龙湾,北辰,北仓,北辰道388号,南 房东直卖 满二年 ,227,17775
曲溪西里 出行方便 临地铁 刚需小三居 医疗配套成熟,3室,1厅,1卫,74,南,高层(共6层),1986年建造,曲溪西里,河东,东新街,崂山道,南 满二年 近地铁 多人关注 ,61.4,8298
